Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10056329_kk,1vmh3qfbj0,Emily_Honors_Thesis_Part_2,1,1,2020-04-25T16:43:06-07:00,50.362273931503,6,versionA_stim.csv,IS_JOLVersionB.csv,"ITEM SPECIFIC Version B",OLD,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of word pairs. As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,50144,,,-1,-1,,,,,1
w10056329_kk,1vmh3qfbj0,Emily_Honors_Thesis_Part_2,1,2,2020-04-25T16:43:41-07:00,34.429399967194,6,versionA_stim.csv,IS_JOLVersionB.csv,"ITEM SPECIFIC Version B",OLD,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,34144,,,-1,-1,,,,,1
w10056329_kk,1vmh3qfbj0,Emily_Honors_Thesis_Part_2,1,3,2020-04-25T16:44:01-07:00,20.622545957565,6,versionA_stim.csv,IS_JOLVersionB.csv,"ITEM SPECIFIC Version B",OLD,,,,,,0,Instruct,-,10,"When making these ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,20343,,,-1,-1,,,,,1
w10056329_kk,1vmh3qfbj0,Emily_Honors_Thesis_Part_2,1,4,2020-04-25T16:44:21-07:00,20.135545015335,6,versionA_stim.csv,IS_JOLVersionB.csv,"ITEM SPECIFIC Version B",OLD,,,,,,0,Instruct,-,15,"As you study and make your ratings, please think about the unique featues of each item and how the two concepts are DIFFERENT from each other. For example, if you see the pair TURTLE-CAT, think about how TURTLES have shells and are reptiles, while CATS are mammals and have fur.",,Instruct19,19847,,,-1,-1,,,,,1
w10056329_kk,1vmh3qfbj0,Emily_Honors_Thesis_Part_2,1,5,2020-04-25T16:46:53-07:00,152.11417007446,6,versionA_stim.csv,IS_JOLVersionB.csv,"ITEM SPECIFIC Version B",OLD,,,,,,0,FreeRecall,-,10,"What you should think about as you study each item pair? Type your response in the box below.",,CHECK1,151808,"Whether or not the item pairs have any big similarities and/or differences and whether or not I could remember the item pairs",0,13457,150082,0,0,,,1
w10056329_kk,1vmh3qfbj0,Emily_Honors_Thesis_Part_2,1,6,2020-04-25T16:48:30-07:00,96.752665996552,6,versionA_stim.csv,IS_JOLVersionB.csv,"ITEM SPECIFIC Version B",OLD,,,,,,0,Instruct,-,5,"You will now complete a practice session. Please study the following items and rate your ability to remember them. Remember to think about how the two items are unique!",,Instruct17,96469,,,-1,-1,,,,,1
w10056329_kk,1vmh3qfbj0,Emily_Honors_Thesis_Part_2,1,7,2020-04-25T16:49:39-07:00,68.385361909866,6,versionA_stim.csv,IS_JOLVersionB.csv,"ITEM SPECIFIC Version B",OLD,PADDLE,ROW,PRACTICE,PRACTICE,184,184,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,68072,,,66239,66800,,,,85,1
w10056329_kk,1vmh3qfbj0,Emily_Honors_Thesis_Part_2,1,8,2020-04-25T16:49:45-07:00,6.0052361488342,6,versionA_stim.csv,IS_JOLVersionB.csv,"ITEM SPECIFIC Version B",OLD,FASHION,MODEL,PRACTICE,PRACTICE,190,183,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,5705,,,3905,4445,,,,70,1
w10056329_kk,1vmh3qfbj0,Emily_Honors_Thesis_Part_2,1,9,2020-04-25T16:49:50-07:00,4.9681189060211,6,versionA_stim.csv,IS_JOLVersionB.csv,"ITEM SPECIFIC Version B",OLD,AARDVARK,ZOO,PRACTICE,PRACTICE,181,186,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,4686,,,2816,3269,,,,13,1
w10056329_kk,1vmh3qfbj0,Emily_Honors_Thesis_Part_2,1,10,2020-04-25T16:49:55-07:00,5.6943960189819,6,versionA_stim.csv,IS_JOLVersionB.csv,"ITEM SPECIFIC Version B",OLD,CHOCOLATE,BAR,PRACTICE,PRACTICE,187,190,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,5407,,,3177,3811,,,,25,1
