Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
961831MM,o5f862eir0,Emily_Honors_Thesis_Part_2,1,1,2020-05-03T12:58:37-07:00,11.564471960068,13,versionA_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionA.csv,"BACKWARD READ VERSION A",NEW,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of word pairs. As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,11261,,,-1,-1,,,,,1
961831MM,o5f862eir0,Emily_Honors_Thesis_Part_2,1,2,2020-05-03T12:58:49-07:00,11.839522123337,13,versionA_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionA.csv,"BACKWARD READ VERSION A",NEW,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,11430,,,-1,-1,,,,,1
961831MM,o5f862eir0,Emily_Honors_Thesis_Part_2,1,3,2020-05-03T12:59:01-07:00,11.98156785965,13,versionA_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionA.csv,"BACKWARD READ VERSION A",NEW,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,11617,,,-1,-1,,,,,1
961831MM,o5f862eir0,Emily_Honors_Thesis_Part_2,1,4,2020-05-03T12:59:07-07:00,5.9140050411224,13,versionA_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionA.csv,"BACKWARD READ VERSION A",NEW,,,,,,0,Instruct,-,5,"You will now complete a practice session. Please study the following items and rate your ability to remember them.",,Instruct17,5626,,,-1,-1,,,,,1
961831MM,o5f862eir0,Emily_Honors_Thesis_Part_2,1,5,2020-05-03T12:59:20-07:00,12.64275097847,13,versionA_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionA.csv,"BACKWARD READ VERSION A",NEW,DEAF,MUTE,PRACTICE,PRACTICE,182,189,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,12254,,,9538,10110,,,,45,1
961831MM,o5f862eir0,Emily_Honors_Thesis_Part_2,1,6,2020-05-03T12:59:24-07:00,4.5219240188599,13,versionA_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionA.csv,"BACKWARD READ VERSION A",NEW,CHIME,MUSIC,PRACTICE,PRACTICE,188,184,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,4205,,,2472,3172,,,,75,1
961831MM,o5f862eir0,Emily_Honors_Thesis_Part_2,1,7,2020-05-03T12:59:29-07:00,4.9047629833221,13,versionA_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionA.csv,"BACKWARD READ VERSION A",NEW,CHOCOLATE,BAR,PRACTICE,PRACTICE,187,188,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,4606,,,3187,3339,,,,30,1
961831MM,o5f862eir0,Emily_Honors_Thesis_Part_2,1,8,2020-05-03T12:59:36-07:00,6.5777261257172,13,versionA_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionA.csv,"BACKWARD READ VERSION A",NEW,AARDVARK,ZOO,PRACTICE,PRACTICE,181,185,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,6276,,,4920,5104,,,,90,1
961831MM,o5f862eir0,Emily_Honors_Thesis_Part_2,1,9,2020-05-03T12:59:39-07:00,3.8217220306396,13,versionA_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionA.csv,"BACKWARD READ VERSION A",NEW,HAM,BONE,PRACTICE,PRACTICE,183,187,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,3519,,,2362,2482,,,,70,1
961831MM,o5f862eir0,Emily_Honors_Thesis_Part_2,1,10,2020-05-03T12:59:45-07:00,5.6986789703369,13,versionA_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionA.csv,"BACKWARD READ VERSION A",NEW,BEHAVIOR,SOCIAL,PRACTICE,PRACTICE,189,190,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,5362,,,2112,4512,,,,67,1
