Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10042487MGS,h2017vrw78,Emily_Honors_Thesis_Part_2,1,1,2020-08-21T19:18:42-07:00,24.950758934021,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of word pairs. As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,23091,,,-1,-1,,,,,1
w10042487MGS,h2017vrw78,Emily_Honors_Thesis_Part_2,1,2,2020-08-21T19:18:57-07:00,14.996627092361,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,12770,,,-1,-1,,,,,1
w10042487MGS,h2017vrw78,Emily_Honors_Thesis_Part_2,1,3,2020-08-21T19:19:15-07:00,17.996888875961,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,15677,,,-1,-1,,,,,1
w10042487MGS,h2017vrw78,Emily_Honors_Thesis_Part_2,1,4,2020-08-21T19:19:23-07:00,8.0803501605988,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,,,,,,0,Instruct,-,5,"You will now complete a practice session. Please study the following items and rate your ability to remember them.",,Instruct17,6621,,,-1,-1,,,,,1
w10042487MGS,h2017vrw78,Emily_Honors_Thesis_Part_2,1,5,2020-08-21T19:19:44-07:00,20.694617033005,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,DEAF,MUTE,PRACTICE,PRACTICE,182,191,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,15301,,,12375,13328,,,,100,1
w10042487MGS,h2017vrw78,Emily_Honors_Thesis_Part_2,1,6,2020-08-21T19:20:04-07:00,20.186192989349,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,HAM,BONE,PRACTICE,PRACTICE,183,187,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,17653,,,11146,11488,,,,95,1
w10042487MGS,h2017vrw78,Emily_Honors_Thesis_Part_2,1,7,2020-08-21T19:20:25-07:00,21.07736492157,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,PADDLE,ROW,PRACTICE,PRACTICE,184,185,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,18825,,,13672,17732,,,,90,1
w10042487MGS,h2017vrw78,Emily_Honors_Thesis_Part_2,1,8,2020-08-21T19:20:47-07:00,21.880763053894,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,AARDVARK,ZOO,PRACTICE,PRACTICE,181,189,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,18628,,,16690,16916,,,,97,1
w10042487MGS,h2017vrw78,Emily_Honors_Thesis_Part_2,1,9,2020-08-21T19:20:59-07:00,12.160253047943,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,HINGE,SWING,PRACTICE,PRACTICE,185,184,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,9459,,,7806,8162,,,,80,1
w10042487MGS,h2017vrw78,Emily_Honors_Thesis_Part_2,1,10,2020-08-21T19:21:12-07:00,12.801292896271,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,DISBELIEVE,SKEPTIC,PRACTICE,PRACTICE,186,188,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,10319,,,8878,9230,,,,75,1
