Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5b5b9fdfe36fe200014d239a,1c64c8hzgn,Emily_Honors_Thesis_Part_2,1,1,2020-08-31T07:15:40-07:00,11.155987024307,21,versionA_stim_BACKWARD.csv,BACKWARD_RL_JOLVersionD.csv,"BACKWARD RL VERSION A",NEW,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of word pairs. As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,10622,,,-1,-1,,,,,0.857
5b5b9fdfe36fe200014d239a,1c64c8hzgn,Emily_Honors_Thesis_Part_2,1,2,2020-08-31T07:15:53-07:00,12.212056159973,21,versionA_stim_BACKWARD.csv,BACKWARD_RL_JOLVersionD.csv,"BACKWARD RL VERSION A",NEW,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,10517,,,-1,-1,,,,,0.792
5b5b9fdfe36fe200014d239a,1c64c8hzgn,Emily_Honors_Thesis_Part_2,1,3,2020-08-31T07:16:04-07:00,11.089504957199,21,versionA_stim_BACKWARD.csv,BACKWARD_RL_JOLVersionD.csv,"BACKWARD RL VERSION A",NEW,,,,,,0,Instruct,-,10,"When making these ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,10761,,,-1,-1,,,,,1
5b5b9fdfe36fe200014d239a,1c64c8hzgn,Emily_Honors_Thesis_Part_2,1,4,2020-08-31T07:16:20-07:00,16.576436042786,21,versionA_stim_BACKWARD.csv,BACKWARD_RL_JOLVersionD.csv,"BACKWARD RL VERSION A",NEW,,,,,,0,Instruct,-,15,"As you study and make your ratings, please think about how the two concepts are RELATED to each other. For example, if you see the pair TURTLE-CAT, think about how both are alive, they are both animals, and both can be kept as pets.",,Instruct19,15940,,,-1,-1,,,,,1
5b5b9fdfe36fe200014d239a,1c64c8hzgn,Emily_Honors_Thesis_Part_2,1,5,2020-08-31T07:16:32-07:00,11.824424982071,21,versionA_stim_BACKWARD.csv,BACKWARD_RL_JOLVersionD.csv,"BACKWARD RL VERSION A",NEW,,,,,,0,FreeRecall,-,10,"What you should think about as you study each item pair? Type your response in the box below.",,CHECK1,11097,"if I would remember them and if they are related",0,4720,9380,0,0,,,1
5b5b9fdfe36fe200014d239a,1c64c8hzgn,Emily_Honors_Thesis_Part_2,1,6,2020-08-31T07:16:39-07:00,6.8683760166168,21,versionA_stim_BACKWARD.csv,BACKWARD_RL_JOLVersionD.csv,"BACKWARD RL VERSION A",NEW,,,,,,0,Instruct,-,5,"You will now complete a practice session. Please study the following items and rate your ability to remember them. Remember to think about how the two items are similiar!",,Instruct17,5998,,,-1,-1,,,,,1
5b5b9fdfe36fe200014d239a,1c64c8hzgn,Emily_Honors_Thesis_Part_2,1,7,2020-08-31T07:16:46-07:00,7.3384280204773,21,versionA_stim_BACKWARD.csv,BACKWARD_RL_JOLVersionD.csv,"BACKWARD RL VERSION A",NEW,PADDLE,ROW,PRACTICE,PRACTICE,184,186,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,6254,,,4710,4979,,,,70,1
5b5b9fdfe36fe200014d239a,1c64c8hzgn,Emily_Honors_Thesis_Part_2,1,8,2020-08-31T07:16:51-07:00,5.0630209445953,21,versionA_stim_BACKWARD.csv,BACKWARD_RL_JOLVersionD.csv,"BACKWARD RL VERSION A",NEW,AARDVARK,ZOO,PRACTICE,PRACTICE,181,185,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,4379,,,2771,3124,,,,50,1
5b5b9fdfe36fe200014d239a,1c64c8hzgn,Emily_Honors_Thesis_Part_2,1,9,2020-08-31T07:16:55-07:00,4.0710520744324,21,versionA_stim_BACKWARD.csv,BACKWARD_RL_JOLVersionD.csv,"BACKWARD RL VERSION A",NEW,CHOCOLATE,BAR,PRACTICE,PRACTICE,187,188,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,3192,,,1921,2170,,,,100,1
5b5b9fdfe36fe200014d239a,1c64c8hzgn,Emily_Honors_Thesis_Part_2,1,10,2020-08-31T07:17:00-07:00,4.8091979026794,21,versionA_stim_BACKWARD.csv,BACKWARD_RL_JOLVersionD.csv,"BACKWARD RL VERSION A",NEW,BEHAVIOR,SOCIAL,PRACTICE,PRACTICE,189,183,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,4030,,,2701,2806,,,,40,1
