Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,1,2020-07-17T14:31:58-07:00,26.712011098862,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of word pairs. As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,26157,,,-1,-1,,,,,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,2,2020-07-17T14:32:10-07:00,11.771056890488,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,11128,,,-1,-1,,,,,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,3,2020-07-17T14:32:22-07:00,11.590147018433,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,10893,,,-1,-1,,,,,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,4,2020-07-17T14:32:28-07:00,6.4185919761658,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,,,,,,0,Instruct,-,5,"You will now complete a practice session. Please study the following items and rate your ability to remember them.",,Instruct17,5753,,,-1,-1,,,,,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,5,2020-07-17T14:32:39-07:00,10.627918958664,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,HINGE,SWING,PRACTICE,PRACTICE,185,187,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,10075,,,8875,8937,,,,60,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,6,2020-07-17T14:32:44-07:00,5.8450529575348,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,CHOCOLATE,BAR,PRACTICE,PRACTICE,187,191,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,5177,,,3697,3728,,,,40,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,7,2020-07-17T14:32:52-07:00,7.34197306633,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,HAM,BONE,PRACTICE,PRACTICE,183,185,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,6785,,,5521,5553,,,,40,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,8,2020-07-17T14:32:57-07:00,4.917102098465,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,PADDLE,ROW,PRACTICE,PRACTICE,184,189,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,3373,,,2317,2412,,,,40,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,9,2020-07-17T14:33:01-07:00,4.3462460041046,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,BEHAVIOR,SOCIAL,PRACTICE,PRACTICE,189,182,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,3792,,,2599,2655,,,,70,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,10,2020-07-17T14:33:09-07:00,8.2851669788361,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,DEAF,MUTE,PRACTICE,PRACTICE,182,183,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,7758,,,5014,6782,,,,70,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,11,2020-07-17T14:33:16-07:00,6.7643580436707,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,AARDVARK,ZOO,PRACTICE,PRACTICE,181,190,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,6197,,,4924,4988,,,,80,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,12,2020-07-17T14:33:21-07:00,4.7368760108948,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,FASHION,MODEL,PRACTICE,PRACTICE,190,184,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,4204,,,2683,2842,,,,40,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,13,2020-07-17T14:33:27-07:00,6.0062909126282,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,CHIME,MUSIC,PRACTICE,PRACTICE,188,188,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,5339,,,3764,3796,,,,70,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,14,2020-07-17T14:33:32-07:00,4.7799620628357,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,DISBELIEVE,SKEPTIC,PRACTICE,PRACTICE,186,186,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,4189,,,2805,2901,,,,20,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,15,2020-07-17T14:33:34-07:00,2.8472700119019,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,,,,,,0,Instruct,User,-,"You have completed this section. Please press Enter to continue.",,Instruct18,2171,,,-1,-1,,,,,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,16,2020-07-17T14:34:13-07:00,38.84373998642,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,38302,,,-1,-1,,,,,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,17,2020-07-17T14:34:18-07:00,4.6221408843994,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,TREES,GREEN,Buffer,Buffer,1,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3956,,,3027,3059,,,,60,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,18,2020-07-17T14:34:24-07:00,5.8470690250397,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,PEANUT,BUTTER,Buffer,Buffer,3,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,5298,,,3986,4714,,,,65,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,19,2020-07-17T14:34:28-07:00,4.0975449085236,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,SCARE,HIDE,Buffer,Buffer,4,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3563,,,2516,2547,,,,30,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,20,2020-07-17T14:34:32-07:00,4.1326541900635,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,SPACE,JAM,Buffer,Buffer,5,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3563,,,1971,2034,,,,80,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,21,2020-07-17T14:34:38-07:00,6.0127038955688,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,BASEBALL,CATCHER,Buffer,Buffer,2,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,5388,,,4299,4331,,,,40,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,22,2020-07-17T14:34:45-07:00,7.030727148056,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,TUNA,FISH,ON,F,25,34,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",6506,,,2050,5369,,,,70,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,23,2020-07-17T14:34:51-07:00,5.7072939872742,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,DIGESTION,STOMACH,ON,F,7,61,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",5166,,,2749,2813,,,,80,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,24,2020-07-17T14:34:57-07:00,5.8493859767914,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,FULL,ENOUGH,ON,B,26,64,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",5272,,,2471,4175,,,,70,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,25,2020-07-17T14:35:01-07:00,4.7324910163879,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,MATH,DIVISION,ON,B,33,27,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4196,,,2971,3035,,,,70,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,26,2020-07-17T14:35:09-07:00,8.0850789546967,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,HOT,CHILI,ON,B,37,36,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",7528,,,4935,5030,,,,80,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,27,2020-07-17T14:35:14-07:00,4.8557999134064,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,DUE,ASSIGNMENT,ON,S,46,81,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4268,,,2907,2972,,,,40,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,28,2020-07-17T14:35:19-07:00,4.5723049640656,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,KEY,LATCH,ON,B,36,37,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4011,,,2642,2706,,,,30,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,29,2020-07-17T14:35:23-07:00,4.2695581912994,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,TAKE,SEIZE,ON,B,29,25,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3736,,,2626,2720,,,,30,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,30,2020-07-17T14:35:32-07:00,8.4971737861633,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,GREAT,FANTASTIC,ON,B,35,62,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",7961,,,3080,6839,,,,35,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,31,2020-07-17T14:35:36-07:00,4.5530421733856,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,BUG,WASP,ON,B,32,66,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4018,,,2939,3002,,,,40,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,32,2020-07-17T14:35:42-07:00,5.3463268280029,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,SWAN,BIRD,ON,F,14,77,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4771,,,3602,3699,,,,20,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,33,2020-07-17T14:35:46-07:00,4.6642301082611,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,REVOLUTION,WAR,ON,F,20,32,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4038,,,2478,2541,,,,80,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,34,2020-07-17T14:35:52-07:00,5.6087789535522,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,HYGIENE,CLEAN,ON,F,17,17,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",5075,,,2770,4004,,,,85,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,35,2020-07-17T14:35:57-07:00,5.3839640617371,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,ARCHITECTURE,DESIGN,ON,S,51,68,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4821,,,3148,3308,,,,30,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,36,2020-07-17T14:36:06-07:00,9.2635860443115,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,LIFT,WOMAN,ON,U,69,48,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",8720,,,7230,7262,,,,90,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,37,2020-07-17T14:36:14-07:00,7.1393768787384,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,SMELL,STENCH,ON,B,42,44,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",6594,,,5866,5929,,,,30,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,38,2020-07-17T14:36:17-07:00,3.3406829833984,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,POP,SODA,ON,S,56,72,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2790,,,2037,2093,,,,90,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,39,2020-07-17T14:36:23-07:00,6.0350770950317,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,WORK,CHORE,ON,B,39,41,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",5498,,,2403,4353,,,,65,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,40,2020-07-17T14:36:26-07:00,3.2807610034943,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,SOON,BELT,ON,U,70,46,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2725,,,2252,2349,,,,20,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,41,2020-07-17T14:36:30-07:00,4.2334389686584,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,NUMBER,AMOUNT,ON,S,47,56,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3695,,,3247,3309,,,,20,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,42,2020-07-17T14:36:34-07:00,3.3286519050598,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,HORNET,STING,ON,F,11,11,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2777,,,2176,2680,,,,15,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,43,2020-07-17T14:36:38-07:00,4.4445459842682,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,HUNGER,FAMINE,ON,B,40,57,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3915,,,2177,2209,,,,90,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,44,2020-07-17T14:36:42-07:00,3.7636752128601,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,HEIGHT,GROWTH,ON,B,30,58,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3224,,,2623,3063,,,,45,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,45,2020-07-17T14:36:46-07:00,3.7521698474884,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,WAGE,MONEY,ON,F,8,59,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3224,,,2688,2783,,,,30,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,46,2020-07-17T14:36:49-07:00,3.1274299621582,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,LAW,ATTORNEY,ON,B,34,42,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2475,,,1970,2377,,,,25,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,47,2020-07-17T14:36:53-07:00,4.5225930213928,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,PLANE,PILOT,ON,B,44,71,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3998,,,3557,3677,,,,10,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,48,2020-07-17T14:36:58-07:00,4.5524749755859,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,SENTENCE,WORD,ON,B,31,20,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4015,,,3663,3886,,,,45,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,49,2020-07-17T14:37:01-07:00,3.218917131424,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,BATHROOM,TOILET,ON,S,58,28,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2670,,,2293,2325,,,,80,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,50,2020-07-17T14:37:07-07:00,5.8790638446808,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,PUSHER,CLUTTER,ON,U,66,51,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",5329,,,4919,4983,,,,10,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,51,2020-07-17T14:37:12-07:00,4.7902941703796,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,CASH,WOULD,ON,U,83,16,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4272,,,3704,3767,,,,10,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,52,2020-07-17T14:37:16-07:00,3.9868140220642,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,CIRCLE,ROUND,ON,S,65,30,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3327,,,3005,3069,,,,70,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,53,2020-07-17T14:37:21-07:00,5.3985259532928,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,TRIAL,JURY,ON,S,50,26,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4876,,,3547,4779,,,,35,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,54,2020-07-17T14:37:25-07:00,3.5356249809265,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,HAPPY,CAR,ON,U,77,63,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2995,,,2618,2682,,,,40,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,55,2020-07-17T14:37:29-07:00,4.0525379180908,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,HERD,COW,ON,F,22,43,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3528,,,2168,2199,,,,70,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,56,2020-07-17T14:37:32-07:00,3.1637811660767,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,PAW,DOG,ON,F,15,9,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2637,,,2068,2164,,,,80,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,57,2020-07-17T14:37:38-07:00,6.0506517887115,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,DARK,CAVE,ON,B,28,75,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",5492,,,4453,5396,,,,65,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,58,2020-07-17T14:37:43-07:00,4.4723961353302,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,DEBATE,SIGHT,ON,U,73,39,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3906,,,1945,3616,,,,10,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,59,2020-07-17T14:37:45-07:00,2.8643639087677,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,CLOTHES,ATTIRE,ON,B,43,45,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2327,,,1856,2230,,,,15,1
5eff368f8f20d547f17e77d8,mm03f16pys,Emily_Honors_Thesis_Part_2,1,60,2020-07-17T14:37:49-07:00,3.7452411651611,1,versionA_stim.csv,READ_JOLVersionA.csv,"READ Version A",OLD,SHOE,FOOT,ON,S,60,60,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3212,,,2515,2610,,,,60,1
