"Username","Condition.Description","Direction","Block","JOL","Recall_Score","Version"
"961831MM","READ","U",1,24,0,"Collector"
"w981975_sha","READ","U",1,10,0,"Collector"
"961831MM","READ","S",1,76,100,"Collector"
"w981975_sha","READ","S",1,75,100,"Collector"
"961831MM","READ","U",1,21,0,"Collector"
"w981975_sha","READ","U",1,20,0,"Collector"
"961831MM","READ","U",1,2,0,"Collector"
"w981975_sha","READ","U",1,1,0,"Collector"
"961831MM","READ","S",1,90,0,"Collector"
"w981975_sha","READ","S",1,90,0,"Collector"
"961831MM","READ","B",1,23,0,"Collector"
"w981975_sha","READ","B",1,95,100,"Collector"
"961831MM","READ","S",1,100,0,"Collector"
"w981975_sha","READ","S",1,99,100,"Collector"
"961831MM","READ","S",1,50,0,"Collector"
"w981975_sha","READ","S",1,100,0,"Collector"
"961831MM","READ","F",1,21,0,"Collector"
"w981975_sha","READ","F",1,25,100,"Collector"
"961831MM","READ","S",1,76,0,"Collector"
"w981975_sha","READ","S",1,79,100,"Collector"
"961831MM","READ","F",1,99,100,"Collector"
"w981975_sha","READ","F",1,90,100,"Collector"
"961831MM","READ","B",1,34,100,"Collector"
"w981975_sha","READ","B",1,89,0,"Collector"
"961831MM","READ","U",1,20,0,"Collector"
"w981975_sha","READ","U",1,3,0,"Collector"
"961831MM","READ","F",1,87,0,"Collector"
"w981975_sha","READ","F",1,80,100,"Collector"
"961831MM","READ","S",1,89,0,"Collector"
"w981975_sha","READ","S",1,95,100,"Collector"
"961831MM","READ","B",1,57,0,"Collector"
"w981975_sha","READ","B",1,80,0,"Collector"
"961831MM","READ","F",1,100,100,"Collector"
"w981975_sha","READ","F",1,88,100,"Collector"
"961831MM","READ","B",1,54,0,"Collector"
"w981975_sha","READ","B",1,60,0,"Collector"
"961831MM","READ","U",1,12,0,"Collector"
"w981975_sha","READ","U",1,20,0,"Collector"
"961831MM","READ","U",1,60,0,"Collector"
"w981975_sha","READ","U",1,10,0,"Collector"
"961831MM","READ","F",1,90,100,"Collector"
"w981975_sha","READ","F",1,45,100,"Collector"
"961831MM","READ","U",1,12,0,"Collector"
"w981975_sha","READ","U",1,2,0,"Collector"
"961831MM","READ","F",1,78,100,"Collector"
"w981975_sha","READ","F",1,90,100,"Collector"
"961831MM","READ","U",1,1,0,"Collector"
"w981975_sha","READ","U",1,20,0,"Collector"
"961831MM","READ","F",1,78,0,"Collector"
"w981975_sha","READ","F",1,96,100,"Collector"
"961831MM","READ","B",1,100,0,"Collector"
"w981975_sha","READ","B",1,89,100,"Collector"
"961831MM","READ","S",1,68,100,"Collector"
"w981975_sha","READ","S",1,90,100,"Collector"
"961831MM","READ","S",1,93,0,"Collector"
"w981975_sha","READ","S",1,72,100,"Collector"
"961831MM","READ","F",1,90,100,"Collector"
"w981975_sha","READ","F",1,70,0,"Collector"
"961831MM","READ","B",1,80,0,"Collector"
"w981975_sha","READ","B",1,89,0,"Collector"
"961831MM","READ","U",1,34,0,"Collector"
"w981975_sha","READ","U",1,92,0,"Collector"
"961831MM","READ","B",1,48,100,"Collector"
"w981975_sha","READ","B",1,90,0,"Collector"
"961831MM","READ","F",1,100,100,"Collector"
"w981975_sha","READ","F",1,88,100,"Collector"
"961831MM","READ","B",1,89,0,"Collector"
"w981975_sha","READ","B",1,68,0,"Collector"
"961831MM","READ","S",1,52,0,"Collector"
"w981975_sha","READ","S",1,67,100,"Collector"
"961831MM","READ","U",1,10,0,"Collector"
"w981975_sha","READ","U",1,4,0,"Collector"
"961831MM","READ","B",1,98,100,"Collector"
"w981975_sha","READ","B",1,56,0,"Collector"
"961831MM","READ","F",1,86,0,"Collector"
"w981975_sha","READ","F",1,90,100,"Collector"
"961831MM","READ","U",1,1,0,"Collector"
"w981975_sha","READ","U",1,80,0,"Collector"
"961831MM","READ","S",1,89,100,"Collector"
"w981975_sha","READ","S",1,99,100,"Collector"
"961831MM","READ","F",1,80,0,"Collector"
"w981975_sha","READ","F",1,70,0,"Collector"
"961831MM","READ","B",1,36,0,"Collector"
"w981975_sha","READ","B",1,95,100,"Collector"
"961831MM","READ","B",1,67,0,"Collector"
"w981975_sha","READ","B",1,50,100,"Collector"
"961831MM","READ","F",1,58,100,"Collector"
"w981975_sha","READ","F",1,60,100,"Collector"
"961831MM","READ","B",1,45,0,"Collector"
"w981975_sha","READ","B",1,50,100,"Collector"
"961831MM","READ","S",1,35,100,"Collector"
"w981975_sha","READ","S",1,93,100,"Collector"
"961831MM","READ","U",1,0,0,"Collector"
"w981975_sha","READ","U",1,20,0,"Collector"
"961831MM","READ","B",1,94,100,"Collector"
"w981975_sha","READ","B",1,78,100,"Collector"
"961831MM","READ","S",1,100,100,"Collector"
"w981975_sha","READ","S",1,89,100,"Collector"
"961831MM","READ","U",1,13,0,"Collector"
"w981975_sha","READ","U",1,5,100,"Collector"
"961831MM","READ","S",1,97,0,"Collector"
"w981975_sha","READ","S",1,50,100,"Collector"
"961831MM","READ","U",1,33,0,"Collector"
"w981975_sha","READ","U",1,20,0,"Collector"
"961831MM","READ","B",1,87,100,"Collector"
"w981975_sha","READ","B",1,50,0,"Collector"
"961831MM","READ","S",1,47,0,"Collector"
"w981975_sha","READ","S",1,57,100,"Collector"
"961831MM","READ","S",1,87,0,"Collector"
"w981975_sha","READ","S",1,50,0,"Collector"
"961831MM","READ","F",1,100,100,"Collector"
"w981975_sha","READ","F",1,80,100,"Collector"
"961831MM","READ","U",1,0,0,"Collector"
"w981975_sha","READ","U",1,20,0,"Collector"
"961831MM","READ","S",1,54,100,"Collector"
"w981975_sha","READ","S",1,90,0,"Collector"
"961831MM","READ","F",1,45,100,"Collector"
"w981975_sha","READ","F",1,79,0,"Collector"
"961831MM","READ","B",1,74,100,"Collector"
"w981975_sha","READ","B",1,70,100,"Collector"
"961831MM","READ","S",1,89,100,"Collector"
"w981975_sha","READ","S",1,90,100,"Collector"
"961831MM","READ","U",1,21,0,"Collector"
"w981975_sha","READ","U",1,10,0,"Collector"
"961831MM","READ","F",1,23,100,"Collector"
"w981975_sha","READ","F",1,100,100,"Collector"
"961831MM","READ","F",1,78,0,"Collector"
"w981975_sha","READ","F",1,70,0,"Collector"
"961831MM","READ","B",1,87,0,"Collector"
"w981975_sha","READ","B",1,79,100,"Collector"
"961831MM","READ","S",1,87,0,"Collector"
"w981975_sha","READ","S",1,99,0,"Collector"
"961831MM","READ","B",1,79,0,"Collector"
"w981975_sha","READ","B",1,90,0,"Collector"
"961831MM","READ","B",1,79,0,"Collector"
"w981975_sha","READ","B",1,62,100,"Collector"
"961831MM","READ","U",1,0,0,"Collector"
"w981975_sha","READ","U",1,30,0,"Collector"
"961831MM","READ","U",1,34,0,"Collector"
"w981975_sha","READ","U",1,80,0,"Collector"
"961831MM","READ","U",1,15,0,"Collector"
"w981975_sha","READ","U",1,20,0,"Collector"
"961831MM","READ","F",1,70,0,"Collector"
"w981975_sha","READ","F",1,80,100,"Collector"
"961831MM","READ","B",1,54,0,"Collector"
"w981975_sha","READ","B",1,50,0,"Collector"
"961831MM","READ","S",1,100,100,"Collector"
"w981975_sha","READ","S",1,70,0,"Collector"
"961831MM","READ","F",1,95,100,"Collector"
"w981975_sha","READ","F",1,95,100,"Collector"
"961831MM","READ","U",1,11,0,"Collector"
"w981975_sha","READ","U",1,40,0,"Collector"
"961831MM","READ","F",1,90,100,"Collector"
"w981975_sha","READ","F",1,92,100,"Collector"
"961831MM","READ","F",1,21,0,"Collector"
"w981975_sha","READ","F",1,57,0,"Collector"
"961831MM","READ","S",1,67,100,"Collector"
"w981975_sha","READ","S",1,70,100,"Collector"
"961831MM","READ","B",1,67,0,"Collector"
"w981975_sha","READ","B",1,69,0,"Collector"
"w10060383","READ","U",1,39,0,"Collector"
"w322833_tr","READ","U",1,46,0,"Collector"
"w924600","READ","U",1,20,100,"Collector"
"w982469AN","READ","U",1,30,0,"Collector"
"w10060383","READ","U",1,22,0,"Collector"
"w322833_tr","READ","U",1,25,0,"Collector"
"w924600","READ","U",1,17,0,"Collector"
"w982469AN","READ","U",1,40,0,"Collector"
"w10060383","READ","S",1,40,0,"Collector"
"w322833_tr","READ","S",1,85,100,"Collector"
"w924600","READ","S",1,88,0,"Collector"
"w982469AN","READ","S",1,70,0,"Collector"
"w10060383","READ","S",1,66,0,"Collector"
"w322833_tr","READ","S",1,60,0,"Collector"
"w924600","READ","S",1,93,100,"Collector"
"w982469AN","READ","S",1,80,0,"Collector"
"w10060383","READ","F",1,12,0,"Collector"
"w322833_tr","READ","F",1,69,100,"Collector"
"w924600","READ","F",1,24,100,"Collector"
"w982469AN","READ","F",1,60,0,"Collector"
"w10060383","READ","F",1,12,100,"Collector"
"w322833_tr","READ","F",1,80,100,"Collector"
