Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10060383,1ghtamqowq,Emily_Honors_Thesis_Part_2,1,1,2020-04-28T06:18:16-07:00,15.751301050186,15,versionC_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionC.csv,"BACKWARD READ VERSION C",NEW,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of word pairs. As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,15340,,,-1,-1,,,,,1
w10060383,1ghtamqowq,Emily_Honors_Thesis_Part_2,1,2,2020-04-28T06:18:29-07:00,13.410698890686,15,versionC_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionC.csv,"BACKWARD READ VERSION C",NEW,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,12929,,,-1,-1,,,,,1
w10060383,1ghtamqowq,Emily_Honors_Thesis_Part_2,1,3,2020-04-28T06:18:41-07:00,11.504033088684,15,versionC_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionC.csv,"BACKWARD READ VERSION C",NEW,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,10992,,,-1,-1,,,,,1
w10060383,1ghtamqowq,Emily_Honors_Thesis_Part_2,1,4,2020-04-28T06:18:47-07:00,6.8534128665924,15,versionC_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionC.csv,"BACKWARD READ VERSION C",NEW,,,,,,0,Instruct,-,5,"You will now complete a practice session. Please study the following items and rate your ability to remember them.",,Instruct17,6334,,,-1,-1,,,,,1
w10060383,1ghtamqowq,Emily_Honors_Thesis_Part_2,1,5,2020-04-28T06:18:52-07:00,4.7793021202087,15,versionC_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionC.csv,"BACKWARD READ VERSION C",NEW,PADDLE,ROW,PRACTICE,PRACTICE,184,183,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,4237,,,3016,3324,,,,79,1
w10060383,1ghtamqowq,Emily_Honors_Thesis_Part_2,1,6,2020-04-28T06:18:59-07:00,6.8345220088959,15,versionC_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionC.csv,"BACKWARD READ VERSION C",NEW,HAM,BONE,PRACTICE,PRACTICE,183,184,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,6323,,,4970,5512,,,,39,1
w10060383,1ghtamqowq,Emily_Honors_Thesis_Part_2,1,7,2020-04-28T06:19:03-07:00,4.4792699813843,15,versionC_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionC.csv,"BACKWARD READ VERSION C",NEW,DEAF,MUTE,PRACTICE,PRACTICE,182,186,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,4034,,,2950,3220,,,,22,1
w10060383,1ghtamqowq,Emily_Honors_Thesis_Part_2,1,8,2020-04-28T06:19:07-07:00,3.7388870716095,15,versionC_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionC.csv,"BACKWARD READ VERSION C",NEW,AARDVARK,ZOO,PRACTICE,PRACTICE,181,189,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,3185,,,1862,2578,,,,100,1
w10060383,1ghtamqowq,Emily_Honors_Thesis_Part_2,1,9,2020-04-28T06:19:12-07:00,4.4093449115753,15,versionC_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionC.csv,"BACKWARD READ VERSION C",NEW,CHOCOLATE,BAR,PRACTICE,PRACTICE,187,185,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,3924,,,2723,3420,,,,100,1
w10060383,1ghtamqowq,Emily_Honors_Thesis_Part_2,1,10,2020-04-28T06:19:17-07:00,5.3113989830017,15,versionC_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionC.csv,"BACKWARD READ VERSION C",NEW,BEHAVIOR,SOCIAL,PRACTICE,PRACTICE,189,188,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,4816,,,3859,4256,,,,12,1
w10060383,1ghtamqowq,Emily_Honors_Thesis_Part_2,1,11,2020-04-28T06:19:22-07:00,5.4231250286102,15,versionC_stim_BACKWARD.csv,BACKWARD_READ_JOLVersionC.csv,"BACKWARD READ VERSION C",NEW,HINGE,SWING,PRACTICE,PRACTICE,185,187,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,4877,,,3346,4267,,,,19,1
