Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w983748_dlh,iqgfdzj5jw,Emily_Honors_Thesis_Part_2,1,1,2020-05-07T12:08:23-07:00,15.104310035706,11,versionC_stim.csv,RL_JOLVersionC.csv,"RELATIONAL Version C",OLD,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of word pairs. As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,13582,,,-1,-1,,,,,1
w983748_dlh,iqgfdzj5jw,Emily_Honors_Thesis_Part_2,1,2,2020-05-07T12:08:37-07:00,14.142978906631,11,versionC_stim.csv,RL_JOLVersionC.csv,"RELATIONAL Version C",OLD,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,11640,,,-1,-1,,,,,1
w983748_dlh,iqgfdzj5jw,Emily_Honors_Thesis_Part_2,1,3,2020-05-07T12:08:56-07:00,18.96235704422,11,versionC_stim.csv,RL_JOLVersionC.csv,"RELATIONAL Version C",OLD,,,,,,0,Instruct,-,10,"When making these ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,16397,,,-1,-1,,,,,1
w983748_dlh,iqgfdzj5jw,Emily_Honors_Thesis_Part_2,1,4,2020-05-07T12:09:15-07:00,18.554636955261,11,versionC_stim.csv,RL_JOLVersionC.csv,"RELATIONAL Version C",OLD,,,,,,0,Instruct,-,15,"As you study and make your ratings, please think about how the two concepts are RELATED to each other. For example, if you see the pair TURTLE-CAT, think about how both are alive, they are both animals, and both can be kept as pets.",,Instruct19,15834,,,-1,-1,,,,,1
w983748_dlh,iqgfdzj5jw,Emily_Honors_Thesis_Part_2,1,5,2020-05-07T12:09:42-07:00,26.72042798996,11,versionC_stim.csv,RL_JOLVersionC.csv,"RELATIONAL Version C",OLD,,,,,,0,FreeRecall,-,10,"What you should think about as you study each item pair? Type your response in the box below.",,CHECK1,24166,"How they are related.",0,9117,16616,0,0,,,1
w983748_dlh,iqgfdzj5jw,Emily_Honors_Thesis_Part_2,1,6,2020-05-07T12:09:51-07:00,9.52286195755,11,versionC_stim.csv,RL_JOLVersionC.csv,"RELATIONAL Version C",OLD,,,,,,0,Instruct,-,5,"You will now complete a practice session. Please study the following items and rate your ability to remember them. Remember to think about how the two items are similiar!",,Instruct17,7172,,,-1,-1,,,,,1
w983748_dlh,iqgfdzj5jw,Emily_Honors_Thesis_Part_2,1,7,2020-05-07T12:10:05-07:00,13.639023065567,11,versionC_stim.csv,RL_JOLVersionC.csv,"RELATIONAL Version C",OLD,CHIME,MUSIC,PRACTICE,PRACTICE,188,184,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,11216,,,9082,9453,,,,65,1
w983748_dlh,iqgfdzj5jw,Emily_Honors_Thesis_Part_2,1,8,2020-05-07T12:10:22-07:00,17.319744110107,11,versionC_stim.csv,RL_JOLVersionC.csv,"RELATIONAL Version C",OLD,DISBELIEVE,SKEPTIC,PRACTICE,PRACTICE,186,191,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,14806,,,12384,13202,,,,75,1
w983748_dlh,iqgfdzj5jw,Emily_Honors_Thesis_Part_2,1,9,2020-05-07T12:10:33-07:00,11.162744998932,11,versionC_stim.csv,RL_JOLVersionC.csv,"RELATIONAL Version C",OLD,PADDLE,ROW,PRACTICE,PRACTICE,184,187,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,8631,,,6688,6899,,,,98,1
w983748_dlh,iqgfdzj5jw,Emily_Honors_Thesis_Part_2,1,10,2020-05-07T12:10:46-07:00,12.517734050751,11,versionC_stim.csv,RL_JOLVersionC.csv,"RELATIONAL Version C",OLD,BEHAVIOR,SOCIAL,PRACTICE,PRACTICE,189,190,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,10177,,,4537,5591,,,,98,1
