Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5da86d3475d0bc001951ff5c,5y6xdwojf1,Emily_Honors_Thesis_Part_2,1,1,2020-07-20T13:12:18-07:00,34.793061971664,19,versionC_stim_BACKWARD.csv,BACKWARD_IS_JOLVersionD.csv,"BACKWARD IS VERSION C",NEW,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of word pairs. As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,34458,,,-1,-1,,,,,1
5da86d3475d0bc001951ff5c,5y6xdwojf1,Emily_Honors_Thesis_Part_2,1,2,2020-07-20T13:12:33-07:00,14.373889923096,19,versionC_stim_BACKWARD.csv,BACKWARD_IS_JOLVersionD.csv,"BACKWARD IS VERSION C",NEW,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,13975,,,-1,-1,,,,,1
5da86d3475d0bc001951ff5c,5y6xdwojf1,Emily_Honors_Thesis_Part_2,1,3,2020-07-20T13:13:01-07:00,28.923963069916,19,versionC_stim_BACKWARD.csv,BACKWARD_IS_JOLVersionD.csv,"BACKWARD IS VERSION C",NEW,,,,,,0,Instruct,-,10,"When making these ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,28471,,,-1,-1,,,,,1
5da86d3475d0bc001951ff5c,5y6xdwojf1,Emily_Honors_Thesis_Part_2,1,4,2020-07-20T13:13:19-07:00,17.421915054321,19,versionC_stim_BACKWARD.csv,BACKWARD_IS_JOLVersionD.csv,"BACKWARD IS VERSION C",NEW,,,,,,0,Instruct,-,15,"As you study and make your ratings, please think about the unique featues of each item and how the two concepts are DIFFERENT from each other. For example, if you see the pair TURTLE-CAT, think about how TURTLES have shells and are reptiles, while CATS are mammals and have fur.",,Instruct19,17019,,,-1,-1,,,,,1
5da86d3475d0bc001951ff5c,5y6xdwojf1,Emily_Honors_Thesis_Part_2,1,5,2020-07-20T13:14:41-07:00,82.130748987198,19,versionC_stim_BACKWARD.csv,BACKWARD_IS_JOLVersionD.csv,"BACKWARD IS VERSION C",NEW,,,,,,0,FreeRecall,-,10,"What you should think about as you study each item pair? Type your response in the box below.",,CHECK1,81604,"how they are different to one another",0,9105,79752,0,0,,,0.548
5da86d3475d0bc001951ff5c,5y6xdwojf1,Emily_Honors_Thesis_Part_2,1,6,2020-07-20T13:14:51-07:00,10.216898918152,19,versionC_stim_BACKWARD.csv,BACKWARD_IS_JOLVersionD.csv,"BACKWARD IS VERSION C",NEW,,,,,,0,Instruct,-,5,"You will now complete a practice session. Please study the following items and rate your ability to remember them. Remember to think about how the two items are unique!",,Instruct17,9800,,,-1,-1,,,,,1
5da86d3475d0bc001951ff5c,5y6xdwojf1,Emily_Honors_Thesis_Part_2,1,7,2020-07-20T13:15:25-07:00,34.267469167709,19,versionC_stim_BACKWARD.csv,BACKWARD_IS_JOLVersionD.csv,"BACKWARD IS VERSION C",NEW,DISBELIEVE,SKEPTIC,PRACTICE,PRACTICE,186,186,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,33883,,,31716,32115,,,,100,1
5da86d3475d0bc001951ff5c,5y6xdwojf1,Emily_Honors_Thesis_Part_2,1,8,2020-07-20T13:16:16-07:00,50.46838593483,19,versionC_stim_BACKWARD.csv,BACKWARD_IS_JOLVersionD.csv,"BACKWARD IS VERSION C",NEW,FASHION,MODEL,PRACTICE,PRACTICE,190,187,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,49946,,,48886,49378,,,,100,1
5da86d3475d0bc001951ff5c,5y6xdwojf1,Emily_Honors_Thesis_Part_2,1,9,2020-07-20T13:16:24-07:00,7.592071056366,19,versionC_stim_BACKWARD.csv,BACKWARD_IS_JOLVersionD.csv,"BACKWARD IS VERSION C",NEW,PADDLE,ROW,PRACTICE,PRACTICE,184,183,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,7200,,,5419,5608,,,,80,1
5da86d3475d0bc001951ff5c,5y6xdwojf1,Emily_Honors_Thesis_Part_2,1,10,2020-07-20T13:16:30-07:00,6.744283914566,19,versionC_stim_BACKWARD.csv,BACKWARD_IS_JOLVersionD.csv,"BACKWARD IS VERSION C",NEW,CHIME,MUSIC,PRACTICE,PRACTICE,188,189,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,6370,,,5548,5747,,,,90,1
5da86d3475d0bc001951ff5c,5y6xdwojf1,Emily_Honors_Thesis_Part_2,1,11,2020-07-20T13:16:34-07:00,4.1479198932648,19,versionC_stim_BACKWARD.csv,BACKWARD_IS_JOLVersionD.csv,"BACKWARD IS VERSION C",NEW,BEHAVIOR,SOCIAL,PRACTICE,PRACTICE,189,182,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,PRACTICE,3769,,,2713,3106,,,,100,1
